Area,Price_RM,Size_SQFT,Bedrooms,Bathrooms,Property_Type,Source,Area_clean
Johor Bahru,385000,840.0,3.0,2.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,900000,2860.0,2.0,2.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,650000,1170.0,3.0,3.0,Terrace House,Mudah,Johor Bahru
Pasir Gudang,352000,770.0,2.0,2.0,Terrace House,Mudah,Pasir Gudang
Kulai,540000,3618.0,3.0,2.0,Terrace House,Mudah,Kulai
Kluang,460000,5403.0,4.0,3.0,Bungalow,Mudah,Kluang
Kulai,365000,1400.0,3.0,3.0,Terrace House,Mudah,Kulai
Skudai,950000,2600.0,4.0,3.0,Terrace House,Mudah,Skudai
Skudai,443000,1044.0,3.0,2.0,Terrace House,Mudah,Skudai
Johor Bahru,458000,770.0,3.0,2.0,Terrace House,Mudah,Johor Bahru
Kulai,340000,770.0,3.0,2.0,Terrace House,Mudah,Kulai
Skudai,695000,2240.0,4.0,4.0,Residential,Mudah,Skudai
Pasir Gudang,450000,960.0,4.0,3.0,Terrace House,Mudah,Pasir Gudang
Skudai,520000,1540.0,3.0,2.0,Terrace House,Mudah,Skudai
Johor Bahru,530000,1540.0,3.0,2.0,Terrace House,Mudah,Johor Bahru
Kluang,178000,1431.0,3.0,2.0,Terrace House,Mudah,Kluang
Permas Jaya,590000,1300.0,3.0,2.0,Terrace House,Mudah,Permas Jaya
Pasir Gudang,480000,1540.0,5.0,4.0,Terrace House,Mudah,Pasir Gudang
Johor Bahru,495000,1540.0,3.0,2.0,Terrace House,Mudah,Johor Bahru
Kulai,350000,770.0,3.0,2.0,Terrace House,Mudah,Kulai
Gelang Patah,550000,1260.0,3.0,3.0,Terrace House,Mudah,Gelang Patah
Skudai,600000,1540.0,3.0,2.0,Terrace House,Mudah,Skudai
Johor Bahru,538000,1300.0,3.0,2.0,Terrace House,Mudah,Johor Bahru
Pontian,330000,753.0,3.0,2.0,Terrace House,Mudah,Pontian
Johor Bahru,838000,1600.0,3.0,2.0,Terrace House,Mudah,Johor Bahru
Pasir Gudang,360000,880.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
Pasir Gudang,325000,775.0,2.0,2.0,Terrace House,Mudah,Pasir Gudang
Skudai,550000,1400.0,3.0,2.0,Terrace House,Mudah,Skudai
Kulai,480000,1600.0,4.0,3.0,Terrace House,Mudah,Kulai
Pasir Gudang,360000,980.0,3.0,3.0,Terrace House,Mudah,Pasir Gudang
Johor Bahru,710000,2100.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Gelang Patah,568000,1170.0,4.0,3.0,Terrace House,Mudah,Gelang Patah
Skudai,588000,1170.0,4.0,3.0,Terrace House,Mudah,Skudai
Skudai,578000,1800.0,4.0,3.0,Terrace House,Mudah,Skudai
Pasir Gudang,540000,2800.0,7.0,4.0,Terrace House,Mudah,Pasir Gudang
Iskandar Puteri,1480000,2439.0,4.0,4.0,Residential,Mudah,Iskandar Puteri
Johor Bahru,820000,1800.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,480000,5541.0,4.0,4.0,Bungalow,Mudah,Johor Bahru
Iskandar Puteri,1480000,1760.0,4.0,4.0,Residential,Mudah,Iskandar Puteri
Iskandar Puteri,1280000,2506.0,5.0,5.0,Residential,Mudah,Iskandar Puteri
Pasir Gudang,290000,1080.0,2.0,1.0,Terrace House,Mudah,Pasir Gudang
Johor Bahru,1380000,2619.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,1080000,3088.0,5.0,4.0,Semi-D,Mudah,Johor Bahru
Kulai,358000,775.0,3.0,2.0,Terrace House,Mudah,Kulai
Johor Bahru,720000,1614.0,5.0,4.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,568000,1400.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,530000,1650.0,3.0,3.0,Terrace House,Mudah,Johor Bahru
Pasir Gudang,375000,960.0,3.0,3.0,Terrace House,Mudah,Pasir Gudang
Skudai,718000,3413.0,4.0,3.0,Terrace House,Mudah,Skudai
Skudai,640000,1540.0,4.0,3.0,Terrace House,Mudah,Skudai
Pasir Gudang,468000,1725.0,4.0,3.0,Terrace House,Mudah,Pasir Gudang
Pasir Gudang,428000,960.0,4.0,3.0,Terrace House,Mudah,Pasir Gudang
Skudai,790000,3200.0,5.0,4.0,Semi-D,Mudah,Skudai
Skudai,628000,1400.0,4.0,3.0,Terrace House,Mudah,Skudai
Pasir Gudang,370000,960.0,3.0,3.0,Terrace House,Mudah,Pasir Gudang
Johor Bahru,738000,2400.0,3.0,2.0,Semi-D,Mudah,Johor Bahru
Skudai,558000,1540.0,3.0,2.0,Terrace House,Mudah,Skudai
Johor Bahru,850000,9900.0,6.0,5.0,Bungalow,Mudah,Johor Bahru
Ulu Tiram,298000,755.0,3.0,1.0,Terrace House,Mudah,Ulu Tiram
Johor Bahru,768000,1400.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Skudai,700000,1800.0,4.0,3.0,Terrace House,Mudah,Skudai
Johor Bahru,898000,1400.0,4.0,4.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,570000,1540.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,585000,1442.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Kluang,366000,2000.0,4.0,2.0,Terrace House,Mudah,Kluang
Kluang,383000,1980.0,4.0,3.0,Terrace House,Mudah,Kluang
Skudai,358000,770.0,3.0,2.0,Terrace House,Mudah,Skudai
Skudai,2500000,6750.0,6.0,7.0,Bungalow,Mudah,Skudai
Skudai,588000,1400.0,3.0,2.0,Terrace House,Mudah,Skudai
Johor Bahru,1000000,5436.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
